grid_lat,grid_lon,detections,active_days,mean_frp,max_frp,mean_bright_ti4,max_bright_ti4,static_detections,vegetation_detections
21.1,72.64,670,270,5.932746268656716,38.49,330.6177313432836,367.0,669,1
23.76,86.4,1431,264,3.39083857442348,15.27,321.1556743535989,367.0,1420,11
23.78,86.39,1317,258,3.4146165527714505,15.31,320.7156112376614,354.24,1317,0
23.78,86.21,943,258,3.539851537645811,16.65,321.44651113467654,367.0,942,1
21.11,72.65,496,256,7.4018749999999995,50.97,332.33110887096774,367.0,496,0
23.17,82.34,718,248,2.7259192200557103,15.14,318.67114206128133,353.55,707,11
22.04,83.73,788,247,6.138934010152283,38.13,331.77422588832485,367.0,781,7
21.92,83.35,861,243,3.398281068524971,16.65,320.4240069686411,354.28,861,0
22.04,83.74,623,237,5.619871589085072,35.7,324.7910754414125,367.0,620,3
22.38,87.28,643,235,2.751679626749611,11.62,316.9053499222395,347.2,619,24
23.69,86.39,589,232,2.9749915110356535,11.83,317.62947368421055,354.23,589,0
23.69,87.12,762,229,1.9762598425196851,8.43,309.16451443569554,341.36,761,1
20.97,85.17,729,227,2.8419615912208505,12.53,314.6344032921811,349.19,729,0
23.56,87.24,586,227,2.968737201365188,16.32,317.94302047781565,353.79,541,0
21.11,72.64,516,227,4.1635465116279065,32.52,318.5120930232558,367.0,516,0
23.68,86.39,481,227,2.8874220374220374,12.28,316.67968814968816,353.04,474,7
21.68,84.04,628,226,2.5660350318471337,8.95,315.7536942675159,344.67,623,5
23.78,86.35,458,222,2.6283842794759824,9.13,319.1442576419214,350.27,454,4
20.96,85.17,547,221,2.9690676416819013,13.8,317.17115173674586,348.43,547,0
23.68,86.09,572,220,2.687062937062937,12.22,314.972465034965,367.0,572,0
23.8,86.33,401,219,3.0806234413965083,11.67,319.4903740648379,350.27,401,0
22.37,87.3,490,217,2.4940204081632653,9.38,314.98510204081634,344.3,488,2
20.79,85.26,629,214,2.9998887122416535,16.03,315.6718282988871,352.17,628,1
21.77,84.02,536,214,2.1653544776119404,9.14,311.4342910447761,341.58,532,4
23.77,86.39,726,212,2.526143250688705,13.35,311.5020936639118,348.09,726,0
22.79,86.2,594,211,2.3086700336700336,13.95,310.9936868686869,352.45,497,0
23.72,86.44,552,211,2.2190217391304348,8.1,310.54632246376815,342.85,547,5
23.68,86.4,475,210,2.3307368421052628,10.07,311.0548631578947,347.94,472,3
26.76,83.2,278,210,1.566043165467626,5.45,306.1641366906475,333.64,271,7
21.08,85.04,585,208,2.5564444444444443,12.63,313.74046153846155,345.84,585,0
22.8,86.09,398,206,1.7393969849246231,8.74,308.70932160804017,347.73,391,7
18.69,73.04,428,205,2.5759112149532712,10.52,316.40109813084115,348.86,425,3
23.74,86.43,329,203,3.04209726443769,10.86,316.6189969604863,350.1,181,148
23.74,85.01,495,202,2.206060606060606,14.71,308.6898787878788,347.66,485,10
21.1,72.65,316,199,5.159968354430379,21.8,327.45164556962027,367.0,311,3
23.78,86.37,369,198,2.008048780487805,6.63,311.2290514905149,341.56,359,10
21.93,85.22,368,198,1.539429347826087,10.61,307.5758423913044,344.09,362,6
21.49,81.77,270,196,1.4987777777777778,4.18,308.33355555555556,330.04,265,5
21.76,84.02,499,194,2.2626853707414827,9.32,310.4780761523046,347.7,499,0
22.04,83.35,345,193,1.6124927536231883,6.3,307.057768115942,338.82,334,11
23.77,86.2,337,192,1.8474777448071218,8.51,305.430118694362,333.62,337,0
23.77,86.4,529,190,2.052514177693762,12.19,307.6611531190926,367.0,491,38
21.38,81.68,304,190,1.9499342105263158,6.53,309.29769736842104,344.88,295,9
22.36,87.02,292,190,1.8677739726027396,6.51,311.27,336.22,287,5
22.79,86.21,374,189,2.247994652406417,12.4,310.7310160427807,353.96,372,2
20.95,86.05,336,189,2.8553571428571427,24.59,320.10255952380953,347.01,329,7
23.78,86.4,304,189,2.9871052631578947,17.52,316.718552631579,350.88,297,7
23.79,86.35,319,185,2.253793103448276,8.53,310.7322570532915,338.04,317,2
23.69,87.1,290,185,1.8317586206896552,5.63,305.33727586206896,333.07,290,0
15.18,76.66,355,184,2.6903098591549295,14.37,316.0102253521127,353.39,355,0
24.66,74.63,246,184,1.8854471544715448,6.31,305.75646341463414,318.3,240,6
23.76,86.39,290,183,3.0038275862068966,12.82,314.1874137931035,367.0,290,0
20.91,71.46,227,183,1.4356828193832598,4.52,309.9677973568282,336.21,225,2
20.98,85.14,367,179,2.353841961852861,8.49,313.3323160762943,349.5,343,24
22.37,87.02,244,178,1.8470901639344262,6.75,311.4615573770492,338.28,239,5
21.1,72.63,257,177,5.02011673151751,29.17,323.7477431906615,367.0,247,10
20.79,85.25,284,176,4.502711267605633,16.9,323.44524647887323,367.0,284,0
22.0,82.67,262,176,2.1134732824427482,9.81,310.02248091603053,339.89,254,8
22.21,84.86,358,175,2.0217877094972065,9.6,310.25918994413405,353.15,355,3
15.17,76.38,305,173,1.6800327868852458,5.14,307.3589836065574,333.67,302,3
21.19,81.39,287,172,2.0924041811846688,6.71,310.5623693379791,341.42,214,1
23.75,86.42,305,170,1.919672131147541,7.65,310.12832786885247,336.99,304,1
23.79,86.33,291,170,2.526529209621993,10.75,313.10591065292095,348.25,289,2
26.64,79.48,307,169,2.430521172638436,18.39,312.670325732899,367.0,304,3
19.1,73.05,255,169,1.3052549019607842,6.0,311.26796078431374,331.69,236,19
22.1,83.12,261,168,2.223448275862069,9.01,310.94739463601536,344.55,224,37
20.81,85.26,232,168,2.3294396551724135,7.43,313.6460775862069,341.5,230,2
21.76,83.84,375,167,2.1594933333333337,8.76,315.50146666666666,345.12,368,7
23.78,86.34,273,167,2.13996336996337,9.59,308.5649816849817,342.15,262,11
18.68,73.04,332,166,2.6178614457831326,11.6,314.3313855421687,349.8,328,1
23.81,86.33,223,165,2.6871748878923767,10.66,315.9735874439462,353.08,222,1
24.21,82.71,245,162,1.7703673469387755,8.5,308.73314285714287,341.82,245,0
23.68,86.08,230,161,2.136608695652174,8.76,310.6043043478261,344.82,230,0
23.78,86.36,198,160,2.1700505050505052,5.85,311.2620202020202,344.27,196,2
20.97,86.01,323,158,3.2253869969040245,36.53,316.75656346749224,367.0,317,6
19.1,82.17,260,158,1.9910384615384613,12.76,311.3043846153846,349.29,197,63
23.67,86.92,253,158,1.9159288537549408,7.32,312.46956521739133,347.47,244,9
23.76,85.85,249,158,2.381285140562249,7.71,312.93927710843377,343.43,249,0
22.36,87.3,230,158,2.5953478260869565,10.16,315.3028260869565,341.95,230,0
20.89,84.98,276,157,2.439166666666667,11.06,314.28340579710147,352.7,270,6
17.61,83.2,281,154,1.8977935943060498,8.34,310.82526690391455,342.7,279,2
20.76,85.29,230,154,1.7184347826086956,8.69,308.87452173913044,338.14,228,2
20.98,85.13,339,153,2.4595870206489674,12.75,312.97746312684365,345.6,324,15
21.08,85.03,230,153,2.194391304347826,10.1,309.413,342.06,224,6
20.8,85.26,268,152,2.6803358208955226,11.16,314.0903358208955,347.67,267,1
21.38,81.64,224,152,1.7872321428571427,3.6,305.2446875,315.22,219,5
22.33,82.65,272,151,1.9545955882352941,7.73,311.5868382352941,344.36,268,4
23.72,86.45,237,151,2.7443037974683544,12.16,310.60755274261606,340.69,236,1
21.39,81.65,179,150,1.5968156424581004,3.91,307.50743016759776,334.74,174,5
22.05,88.12,206,149,2.414757281553398,9.44,315.12752427184466,347.05,205,1
23.67,86.09,195,149,1.6103589743589743,6.28,307.3016923076923,342.91,181,14
15.18,76.65,210,146,2.435095238095238,9.04,312.1657619047619,343.52,208,2
23.69,87.11,260,145,1.7857307692307693,5.57,302.66346153846155,316.02,260,0
20.87,84.99,246,142,2.3389837398373983,15.71,311.68463414634147,341.66,235,11
23.55,87.24,208,142,2.1528846153846155,13.66,309.9472596153846,339.72,51,4
22.87,86.06,179,142,1.455754189944134,6.23,308.75240223463686,333.85,177,2
21.37,81.68,215,141,1.6587441860465115,4.73,305.53311627906976,315.78,200,15
23.82,85.5,203,141,1.8425615763546799,29.01,306.6959113300492,342.42,192,11
22.05,88.13,178,141,2.483651685393258,11.18,316.94370786516856,345.15,175,1
20.79,85.27,183,140,1.964262295081967,9.77,310.94158469945353,339.74,174,9
22.11,83.12,177,140,1.686271186440678,7.48,307.53429378531075,342.25,134,43
23.56,87.08,176,140,1.4752272727272726,5.28,304.1775568181818,317.07,172,4
23.68,86.1,212,138,3.089764150943396,23.53,316.69882075471696,354.23,205,7
20.8,85.25,197,138,3.789796954314721,18.11,320.9715228426396,353.9,197,0
23.61,86.79,183,137,1.6851912568306011,6.33,307.421912568306,336.41,183,0
21.67,82.08,187,136,1.5315508021390374,5.66,306.6634759358289,316.33,187,0
22.01,82.67,177,135,1.866949152542373,8.93,308.5280790960452,340.15,172,5
22.21,84.87,263,134,2.175019011406844,7.39,312.9286692015209,343.5,263,0
20.97,85.15,217,133,2.257695852534562,10.89,313.03682027649774,367.0,180,37
20.97,86.0,183,133,1.9014207650273223,6.55,308.3994535519126,341.29,179,4
20.97,85.18,182,133,2.5394505494505495,12.84,315.42906593406593,347.75,182,0
23.84,84.95,235,132,1.8479999999999999,9.55,309.1006382978723,344.21,22,213
22.8,86.21,193,132,4.237357512953367,21.29,321.79974093264246,367.0,193,0
18.72,79.54,207,129,2.2771014492753623,10.02,315.6684541062802,343.52,200,7
22.59,85.9,187,128,1.442994652406417,4.77,306.56641711229946,332.1,181,6
21.18,81.39,182,128,1.9174175824175825,6.61,312.0808791208791,343.97,13,0
22.33,82.66,198,127,2.069848484848485,7.87,313.6222222222222,343.57,193,5
21.31,81.59,155,127,1.070516129032258,3.35,305.0070322580645,318.19,152,3
22.31,82.53,187,126,1.7124064171122997,6.23,308.647807486631,340.74,187,0
20.98,85.15,156,126,1.767948717948718,9.0,312.6762179487179,342.67,154,2
22.11,83.52,159,124,2.0931446540880505,9.79,313.5525786163522,347.04,102,57
24.82,73.09,133,124,1.396691729323308,5.13,306.3206015037594,322.28,130,3
21.88,83.55,155,123,1.3870322580645162,5.05,305.96290322580643,317.37,144,11
23.77,86.21,175,122,1.6122285714285713,6.29,305.03457142857144,334.19,175,0
21.25,79.22,167,122,1.8364670658682634,8.42,313.2080239520958,343.35,161,6
23.76,85.86,169,120,2.3968047337278104,8.88,310.11384615384617,339.02,167,2
22.8,86.2,156,119,2.3626923076923076,23.72,309.03999999999996,341.07,133,1
21.98,83.23,144,119,1.7426388888888888,6.76,308.1173611111111,333.5,142,2
21.11,72.63,165,118,2.8120000000000003,14.29,312.05048484848487,341.15,165,0
15.66,73.99,135,118,0.8166666666666667,3.03,306.48096296296296,332.3,135,0
27.38,95.09,146,117,0.864041095890411,3.32,304.2797945205479,334.08,135,11
22.36,87.29,133,117,1.2897744360902255,4.16,305.608947368421,331.91,129,4
15.18,77.1,128,117,1.2021875,4.69,304.72796875,311.75,123,5
22.36,82.3,365,115,4.9066027397260275,24.3,327.058,367.0,215,150
18.68,73.03,149,115,2.041342281879195,8.06,309.1096644295302,339.15,149,0
22.33,82.6,182,113,2.2696153846153844,15.08,312.3568681318681,350.11,171,11
27.46,95.48,166,113,1.2283734939759037,5.63,312.3066265060241,339.57,153,13
